No,Barcode,tube
1,2013-08-02/04185___,12mm_Tube
2,2013-08-02/04655___,12mm_Tube
3,2013-08-02/41524___,12mm_Tube
4,2013-08-02/41522____,12mm_Tube
5,2013-08-02/06632____,12mm_Tube
6,2013-08-02/41525____,12mm_Tube
7,2013-08-02/41536____,12mm_Tube
8,2013-08-02/41530____,12mm_Tube
9,2013-08-02/07394____,12mm_Tube
10,2013-08-02/41527____,12mm_Tube
11,2013-08-02/41529____,12mm_Tube
12,2013-08-02/12056____,12mm_Tube
13,2013-08-02/41526____,12mm_Tube
14,2013-08-02/41557____,12mm_Tube
15,2013-08-02/41528____,12mm_Tube
16,2013-08-02/41531____,12mm_Tube
17,2013-08-02/12001____,12mm_Tube
18,2013-08-02/12024____,12mm_Tube
19,2013-08-02/44231____,12mm_Tube
20,2013-08-02/44230____,12mm_Tube
21,2013-08-02/07382____,12mm_Tube
22,2013-08-02/44228____,12mm_Tube
23,2013-08-02/44229____,12mm_Tube
24,2013-08-02/41523____,12mm_Tube
25,2013-08-02/04656____,12mm_Tube
26,2013-08-02/42524____,12mm_Tube
27,2013-08-02/07395____,12mm_Tube
28,2013-08-02/07381____,12mm_Tube
29,2013-08-02/04542____,12mm_Tube
30,2013-08-02/04135____,12mm_Tube
31,2013-08-02/07392____,12mm_Tube
32,2013-08-02/22555____,12mm_Tube
33,2013-08-02/00311____,12mm_Tube
34,2013-08-02/09388____,12mm_Tube
35,2013-08-02/06058____,12mm_Tube
36,2013-08-02/09390____,12mm_Tube
37,2013-08-02/09389____,12mm_Tube
38,2013-08-02/09386____,12mm_Tube
39,2013-08-02/09405____,12mm_Tube
40,2013-08-02/22028____,12mm_Tube
41,2013-08-02/22031____,12mm_Tube
42,2013-08-02/46725____,12mm_Tube
43,2013-08-02/74129____,12mm_Tube
44,2013-08-02/26018____,12mm_Tube
45,2013-08-02/13545____,12mm_Tube
46,2013-08-02/00309____,12mm_Tube
47,2013-08-02/15245____,12mm_Tube
48,2013-08-02/06057____,12mm_Tube
49,2013-08-02/49012____,12mm_Tube
50,2013-08-02/08437____,12mm_Tube
51,2013-08-02/22026____,12mm_Tube
52,2013-08-02/06055____,12mm_Tube
53,2013-08-02/08462____,12mm_Tube
54,2013-08-02/09401____,12mm_Tube
55,2013-08-02/09409____,12mm_Tube
56,2013-08-02/09408____,12mm_Tube
57,2013-08-02/48145____,12mm_Tube
58,2013-08-02/06056____,12mm_Tube
59,2013-08-02/00312____,12mm_Tube
60,2013-08-02/28852____,12mm_Tube
61,2013-08-02/04516____,12mm_Tube
62,2013-08-02/41559____,12mm_Tube
63,2013-08-02/38337____,12mm_Tube
64,2013-08-02/38339____,12mm_Tube
65,2013-08-02/74121____,12mm_Tube
66,2013-08-02/07393____,12mm_Tube
67,2013-08-02/51767____,12mm_Tube
68,2013-08-02/74128____,12mm_Tube
69,2013-08-02/38338____,12mm_Tube
70,2013-08-02/74118____,12mm_Tube
71,2013-08-02/41558____,12mm_Tube
72,2013-08-02/74131____,12mm_Tube
73,2013-08-02/15210____,12mm_Tube
74,2013-08-02/20165____,12mm_Tube
75,2013-08-02/39300____,12mm_Tube
76,2013-08-02/20012____,12mm_Tube
77,2013-08-02/00637____,12mm_Tube
78,2013-08-02/15606____,12mm_Tube
79,2013-08-02/15129____,12mm_Tube
80,2013-08-02/38624____,12mm_Tube
81,2013-08-02/15203____,12mm_Tube
82,2013-08-02/20164____,12mm_Tube
83,2013-08-02/20760____,12mm_Tube
84,2013-08-02/37081____,12mm_Tube
85,2013-08-02/29471____,12mm_Tube
86,2013-08-02/15202____,12mm_Tube
87,2013-08-02/28853____,12mm_Tube
88,2013-08-02/20011____,12mm_Tube
89,2013-08-02/44665____,12mm_Tube
90,111,12mm_Tube
